image_name,target
1560/image_1286531235_product_4074816482.jpg,1560
1320/image_1292669765_product_4112776090.jpg,1320
2060/image_1287211853_product_4077168180.jpg,2060
1680/image_1192149579_product_3122640382.jpg,1680
1741/image_1309345406_product_4180170739.jpg,1741
2060/image_1226890954_product_3604820822.jpg,2060
1560/image_1268400852_product_3950800210.jpg,1560
1481/image_1203073520_product_3268900668.jpg,1481
1920/image_1284153353_product_4063427194.jpg,1920
2060/image_1302414927_product_4153298093.jpg,2060
1481/image_1279777990_product_4041573284.jpg,1481
1920/image_1173392986_product_2927732518.jpg,1920
1920/image_1275119512_product_4003848205.jpg,1920
2542/image_987348044_product_294178656.jpg,2542
1920/image_1284150802_product_4063426363.jpg,1920
1920/image_1275154370_product_4003927005.jpg,1920
1720/image_1322692799_product_4225062715.jpg,1720
1741/image_1203456619_product_3277589258.jpg,1741
1680/image_1301920743_product_4153635291.jpg,1680
2060/image_1073591459_product_2041112591.jpg,2060
1920/image_1273759557_product_3992793421.jpg,1920
2885/image_1266684478_product_3939531494.jpg,2885
1680/image_1169232245_product_2873591153.jpg,1680
2582/image_1253261541_product_3855780177.jpg,2582
1481/image_867202308_product_110162797.jpg,1481
1560/image_1310451587_product_4182244029.jpg,1560
1481/image_1284432981_product_4063578869.jpg,1481
1481/image_1242086989_product_3762125794.jpg,1481
1481/image_960465873_product_236032397.jpg,1481
1920/image_1257858099_product_3883201053.jpg,1920
2766/image_1287655245_product_4076950351.jpg,2766
1920/image_1275025836_product_4003833649.jpg,1920
1920/image_1196792335_product_3198559625.jpg,1920
2766/image_1227183557_product_3607780633.jpg,2766
1741/image_1272916497_product_3991531847.jpg,1741
1760/image_1311436330_product_4182082722.jpg,1760
1920/image_1287430015_product_4076848290.jpg,1920
1741/image_1215868890_product_3474666541.jpg,1741
1741/image_1302379148_product_4155182629.jpg,1741
2582/image_1220160209_product_3539180278.jpg,2582
1741/image_1253696053_product_3857734947.jpg,1741
2766/image_1314188620_product_4200061407.jpg,2766
1680/image_1011866229_product_455797917.jpg,1680
1680/image_1322618203_product_4231265377.jpg,1680
1560/image_1313620043_product_4197536412.jpg,1560
1680/image_1306265245_product_4167246827.jpg,1680
1560/image_1191475857_product_3108805204.jpg,1560
2060/image_1104320939_product_1842305305.jpg,2060
2582/image_1223532501_product_3582034103.jpg,2582
2060/image_1302388153_product_4153292017.jpg,2060
2766/image_1297466506_product_4134789763.jpg,2766
1741/image_1226330998_product_3597528329.jpg,1741
1920/image_1279270962_product_4037116108.jpg,1920
1560/image_1266488988_product_3938615731.jpg,1560
1741/image_1304066010_product_4160962593.jpg,1741
2542/image_1084612110_product_1499362584.jpg,2542
1760/image_1227529413_product_3611678010.jpg,1760
1680/image_1246227593_product_3797496477.jpg,1680
1741/image_1213088292_product_3440990987.jpg,1741
1920/image_1198964850_product_3222462483.jpg,1920
2060/image_1255991144_product_3872857606.jpg,2060
1481/image_1266887380_product_3940397240.jpg,1481
2582/image_1079873354_product_1437691605.jpg,2582
2240/image_1159825217_product_2719746279.jpg,2240
1300/image_1098085693_product_1678707169.jpg,1300
2060/image_1270216775_product_3969256248.jpg,2060
1741/image_1258604676_product_3885995886.jpg,1741
2885/image_1227580693_product_3611506735.jpg,2885
2080/image_991444174_product_298279076.jpg,2080
1741/image_1253530363_product_3993934885.jpg,1741
1840/image_1230535355_product_3635084372.jpg,1840
1481/image_1049892638_product_1652875676.jpg,1481
1741/image_1235871883_product_3701145840.jpg,1741
1760/image_1127817527_product_2130825508.jpg,1760
2766/image_1248428995_product_3814922342.jpg,2766
1920/image_1276380427_product_4012756262.jpg,1920
2766/image_933330536_product_209623362.jpg,2766
2766/image_1321911261_product_4228940683.jpg,2766
1320/image_1169867211_product_2883816908.jpg,1320
2582/image_1211021711_product_2740205299.jpg,2582
2766/image_1121066669_product_2030408373.jpg,2766
1741/image_1310274303_product_4182524296.jpg,1741
1680/image_1241179871_product_3753186703.jpg,1680
2885/image_1192014750_product_3120364055.jpg,2885
1920/image_1273252036_product_3992545347.jpg,1920
1500/image_1269788466_product_3962525917.jpg,1500
1481/image_1299121660_product_4141769241.jpg,1481
2060/image_1315116736_product_4204291311.jpg,2060
2582/image_1246477208_product_3799403738.jpg,2582
2766/image_1020408366_product_523515379.jpg,2766
2766/image_877244656_product_122745340.jpg,2766
1741/image_1218509012_product_3512286335.jpg,1741
1720/image_1290686683_product_4095302756.jpg,1720
1741/image_1256121203_product_3873443168.jpg,1741
1560/image_1313121453_product_4197490143.jpg,1560
2060/image_1317509396_product_4213250038.jpg,2060
1300/image_1279761752_product_4041457004.jpg,1300
1500/image_1034642300_product_679563717.jpg,1500
1920/image_1232557794_product_3665667717.jpg,1920
1481/image_902758181_product_147771212.jpg,1481
1760/image_1177682009_product_2977873022.jpg,1760
1481/image_1120782898_product_2020460176.jpg,1481
2060/image_1238413997_product_3728230336.jpg,2060
2060/image_1314054861_product_4186137337.jpg,2060
1481/image_1280645806_product_4044200682.jpg,1481
2766/image_1269162291_product_3954443906.jpg,2766
1481/image_1219131337_product_3524000778.jpg,1481
1481/image_1251688366_product_3844708208.jpg,1481
2885/image_1300317414_product_4145397313.jpg,2885
2885/image_1193643075_product_3148219329.jpg,2885
2885/image_1245042106_product_3787031610.jpg,2885
2766/image_1077520607_product_1373884089.jpg,2766
2060/image_1311661551_product_4189020351.jpg,2060
1920/image_1279234347_product_4037103234.jpg,1920
1560/image_1308728974_product_4177785142.jpg,1560
2885/image_1312216611_product_4193731002.jpg,2885
1481/image_1314697457_product_4203483299.jpg,1481
1920/image_1258677932_product_3885550865.jpg,1920
1920/image_1259336575_product_3887629410.jpg,1920
2885/image_1265350910_product_3929938261.jpg,2885
2766/image_1321800846_product_4228932750.jpg,2766
2542/image_886194922_product_131962226.jpg,2542
1741/image_1286666516_product_4071247597.jpg,1741
1680/image_1150178429_product_2570204714.jpg,1680
1741/image_1137173927_product_2340645824.jpg,1741
2542/image_1313145823_product_4197722029.jpg,2542
1481/image_1283328493_product_4060954882.jpg,1481
1481/image_1275794640_product_4008877895.jpg,1481
2240/image_1240697968_product_3748067406.jpg,2240
1741/image_1321808051_product_4229182870.jpg,1741
2240/image_1270237171_product_3969354794.jpg,2240
1560/image_1285380657_product_4027058234.jpg,1560
2060/image_1250691244_product_3834851954.jpg,2060
2766/image_1145790688_product_2504237591.jpg,2766
1840/image_1079243226_product_1417985382.jpg,1840
1840/image_1289460177_product_3544958288.jpg,1840
1680/image_1258353133_product_3881806451.jpg,1680
1920/image_1196796719_product_3198694571.jpg,1920
1741/image_1216261741_product_3474496108.jpg,1741
2766/image_1179727387_product_2993191068.jpg,2766
1560/image_1203463529_product_3277809059.jpg,1560
1741/image_1189168114_product_3079432330.jpg,1741
1920/image_1275407377_product_4004181919.jpg,1920
2542/image_887364659_product_132507578.jpg,2542
2542/image_1313113322_product_4197720067.jpg,2542
1920/image_1282825781_product_4058285940.jpg,1920
2582/image_1265240095_product_3929960052.jpg,2582
1560/image_1310347347_product_4182236694.jpg,1560
2766/image_1314046929_product_4200049168.jpg,2766
2885/image_1254632067_product_3863504924.jpg,2885
2240/image_1244777983_product_3786614073.jpg,2240
1560/image_1277776805_product_4026079888.jpg,1560
2766/image_1321744043_product_4228925504.jpg,2766
1741/image_1216402702_product_3474594121.jpg,1741
1741/image_1111849152_product_3835453177.jpg,1741
1680/image_1301952378_product_4153636812.jpg,1680
1741/image_1287855871_product_4079325130.jpg,1741
1560/image_1231792622_product_3654499685.jpg,1560
1481/image_1283732463_product_4058287991.jpg,1481
1741/image_1318865349_product_4215971646.jpg,1741
2240/image_1244366260_product_3783313835.jpg,2240
2885/image_1236326402_product_3707010902.jpg,2885
1760/image_1147813680_product_2534166269.jpg,1760
1481/image_1284485191_product_4063734944.jpg,1481
2060/image_1281296839_product_4050816149.jpg,2060
2240/image_1257094165_product_3878431430.jpg,2240
2766/image_1271132776_product_3975271641.jpg,2766
2766/image_1177575337_product_2976747337.jpg,2766
2240/image_1148849032_product_2548719615.jpg,2240
2766/image_931308561_product_185809884.jpg,2766
1680/image_1278587196_product_4035773904.jpg,1680
1680/image_1086210142_product_1510266279.jpg,1680
2766/image_1324726278_product_4238141750.jpg,2766
2766/image_1215494136_product_3470411787.jpg,2766
1741/image_1048387337_product_944431808.jpg,1741
1741/image_1191517742_product_3109575508.jpg,1741
1560/image_1306571214_product_4168873477.jpg,1560
2542/image_1037376404_product_713035856.jpg,2542
2766/image_1272943583_product_3991524687.jpg,2766
1760/image_1148635928_product_2544670238.jpg,1760
2060/image_1314793640_product_4203937445.jpg,2060
1680/image_1295202070_product_4124752347.jpg,1680
1920/image_1313131031_product_4182626893.jpg,1920
1920/image_1275032681_product_4003834909.jpg,1920
1481/image_1141444909_product_2431978326.jpg,1481
2885/image_1257233302_product_3879696602.jpg,2885
2766/image_1323775699_product_4234378274.jpg,2766
1320/image_1192424335_product_3128360720.jpg,1320
1680/image_1230654964_product_3640269291.jpg,1680
1680/image_1226951761_product_3605342047.jpg,1680
2582/image_1264888893_product_3928049254.jpg,2582
2240/image_1282569520_product_4057733271.jpg,2240
1481/image_1105734239_product_1855807920.jpg,1481
2542/image_1039071298_product_781159000.jpg,2542
2766/image_854362361_product_87321353.jpg,2766
1741/image_1298236912_product_4138964571.jpg,1741
2766/image_1313837244_product_4200035995.jpg,2766
1680/image_1252503171_product_3849782965.jpg,1680
1920/image_1273404577_product_3992633147.jpg,1920
1481/image_1288770041_product_4072313329.jpg,1481
2766/image_1277046946_product_4019436071.jpg,2766
2766/image_936649921_product_196352585.jpg,2766
2582/image_1225864017_product_3177391368.jpg,2582
1720/image_1285263508_product_4067834047.jpg,1720
1500/image_1148156820_product_2537003756.jpg,1500
1920/image_1280429876_product_4044820454.jpg,1920
1560/image_1194415210_product_3158445434.jpg,1560
